date,price,grade,has_basement,living_in_m2,renovated,nice_view,perfect_condition,has_lavatory,single_floor,quartile_zone
2014-09-26,-0.8191639573085492,1,False,-1.540811533411513,False,False,True,False,True,2
2014-05-14,0.10857812653980943,2,True,0.43120891258424293,False,False,False,True,True,2
2015-03-23,0.5508178763535347,4,False,1.19281680896881,False,False,False,True,False,2
2014-07-15,1.4401043297833085,3,False,-0.3167988427934576,False,False,False,True,False,3
2015-04-14,-0.6028510362040096,1,False,-1.2960089952879017,False,False,False,True,True,3
2015-05-08,-0.3673102998901776,2,False,0.2952075025155701,False,False,False,True,True,1
2014-10-15,-0.7230248812620871,2,False,-1.2688087132741672,False,False,False,True,False,3
2014-07-15,-1.0835464164363198,2,True,-0.058396163662979415,False,False,False,True,True,1
2015-02-25,-0.14619042498331494,2,False,2.620831614689875,False,False,False,False,False,2
2014-07-01,-0.07648959484962997,2,True,-0.9560054701162198,False,False,False,False,True,3
2015-03-25,-0.8792508798375879,2,False,0.19320644496406547,False,False,False,True,False,1
2015-04-24,-1.4560853361163602,1,True,-0.6024018039376703,False,False,False,False,True,2
2014-05-14,-0.4924016586880317,3,True,-0.35759926581405954,False,False,False,True,False,3
2014-08-29,-0.11254174836705323,1,True,-0.9968058931368216,False,False,False,False,True,2
2014-10-09,0.11819203414445563,3,True,-0.30319870178659014,False,False,False,True,True,4
2015-01-19,-1.0835464164363198,2,True,0.3224077845293046,False,True,False,True,True,1
2014-08-19,1.512208636818155,3,True,0.390408489563641,False,False,True,True,True,4
2014-06-06,-1.516172258645399,1,False,-1.010406034143689,True,False,False,False,True,3
2014-10-06,0.2621603005240325,3,True,-0.6160019449445377,False,False,False,True,False,3
2014-09-18,-1.093160324040966,2,True,-0.6568023679651397,False,False,False,False,True,1
2014-05-27,-0.11831009292984096,4,False,0.7576122967490575,False,False,False,True,False,2
2015-04-09,0.3585397242606107,3,False,-0.09919658668358135,False,False,False,True,False,4
2015-03-18,-1.3217309773414294,1,False,-1.3368094183085035,False,False,False,False,True,1
